fare_id,route_id,origin_id,contains_id,destination_id
Regular Fare,1,,,
Regular Fare,3,,,
Regular Fare,5,,,
Regular Fare,6,,,
Regular Fare,7,,,
Regular Fare,8,,,
Regular Fare,9,,,
Regular Fare,10,,,
Regular Fare,11,,,
Regular Fare,12,,,
Regular Fare,13,,,
Regular Fare,15,,,
Regular Fare,17,,,
Regular Fare,20,,,
Regular Fare,21,,,
Regular Fare,23,,,
Regular Fare,26,,,
Regular Fare,33,,,
Regular Fare,37,,,
Regular Fare,38,,,
Regular Fare,43,,,
Regular Fare,52,,,
Regular Fare,55,,,
Regular Fare,75,,,
Regular Fare,76,,,
