route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off
10,4030,10,Downtown Station To Santa Fe College,3,2ca4e2,FFFFFF,,https://go-rts.com/rts10-rosa-parks-transfer-station-to-santa-fe-2/,,
21,4030,21,Reitz Union To Liv Apartments,3,cd732b,FFFFFF,,,,
6,4030,6,Downtown Station to N Walmart Supercenter,3,74797d,FFFFFF,,https://go-rts.com/rts006-rosa-parks-transfer-station-to-n-walmart-supercenter-2/,,
13,4030,13,US 441 to Alight Apartments,3,a72051,FFFFFF,,https://go-rts.com/route013-beaty-towers-to-cottage-grove-apartments-2/,,
37,4030,37,Reitz Union to Butler Plaza Transfer Station,3,0a8e33,FFFFFF,,https://go-rts.com/route037-reitz-union-to-butler-plaza-transfer-station-2/,,
17,4030,17,Beaty Towers To Rosa Parks Downtown Station,3,cc7000,FFFFFF,,https://go-rts.com/route017-beaty-towers-to-rosa-parks-transfer-station/,,
55,4030,55,Blount Center To Santa Fe College,3,0f86ed,FFFFFF,,,,
7,4030,7,Downtown Station to Eastwood Meadows,3,cc2575,FFFFFF,,https://go-rts.com/rts007-rosa-parks-transfer-station-to-eastwood-meadows-2/,,
12,4030,12,The Hub to Dollar General,3,b27b55,FFFFFF,,https://go-rts.com/route012-reitz-union-to-butler-plaza-transfer-station-2/,,
52,4030,52,Reitz Union to Jonesville,3,dc143c,FFFFFF,,https://go-rts.com/route052-uf-health-to-jonesville-2/,,
75,4030,75,Oaks Mall to Butler Plaza,3,cb5d60,FFFFFF,,https://go-rts.com/route075-oaks-mall-to-butler-plaza-transfer-station-2/,,
118,4030,118,Park-N-Ride 1 (Cultural Plaza) To The Hub,3,7d8e24,FFFFFF,,,,
33,4030,33,Butler Plaza to The Hub,3,ca0088,FFFFFF,,https://go-rts.com/route033-butler-plaza-transfer-station-to-midtown-2/,,
1,4030,1,Downtown Station to Butler Plaza,3,6373b4,FFFFFF,,https://go-rts.com/https/go-rtscom/rts001-rosa-parks-transfer-station-to-butler-plaza-transfer-station-2/,,
43,4030,43,UF Health to Santa Fe College,3,3365de,FFFFFF,,https://go-rts.com/route043-shands-to-santa-fe-2/,,
5,4030,5,Downtown Station to Oaks Mall,3,777a56,FFFFFF,,https://go-rts.com/rts0005-rosa-parks-transfer-station-to-oaks-mall-2/,,
76,4030,76,Haile Plantation To Santa Fe College,3,c57f30,FFFFFF,,,,
3,4030,3,Downtown Station to N Main Post Office,3,20b2aa,FFFFFF,,https://go-rts.com/rts003-rosa-parks-transfer-station-to-north-main-post-office-2/,,
11,4030,11,Downtown Station To Eastwood Meadows,3,917d60,FFFFFF,,https://go-rts.com/route0011-rosa-parks-transfer-station-to-eastwood-meadow-2/,,
26,4030,26,Downtown Station to Airport,3,94256c,FFFFFF,,https://go-rts.com/route026-rosa-parks-transfer-station-to-airport-2/,,
9,4030,9,Reitz Union To Hunters Run,3,7f9031,FFFFFF,,https://go-rts.com/rts009-reitz-union-to-hunters-run-2/,,
8,4030,8,UF Health To N Walmart Supercenter,3,e66f00,FFFFFF,,https://go-rts.com/rts008-shands-to-north-walmart-supercenter-2/,,
20,4030,20,Reitz Union To Oaks Mall,3,16a1e7,FFFFFF,,https://go-rts.com/route020-reitz-union-to-oaks-mall-2/,,
38,4030,38,Reitz Union to Gainesville Place,3,1ea89c,FFFFFF,,https://go-rts.com/route038-the-hub-to-gainesville-place-2/,,
23,4030,23,Butler Plaza to Santa Fe College,3,a08d2d,FFFFFF,,https://go-rts.com/route023-oaks-mall-to-santa-fe-via-ft-clarke-blvd-2/,,
126,4030,126,UF East / West Circulator (Lakeside To Sorority Row),3,1f9dea,FFFFFF,,,,
15,4030,15,Downtown Station To NW 13 Street / NW 23 Avenue,3,449a57,FFFFFF,,https://go-rts.com/route015-rosa-parks-transfer-station-to-nw-13th-street-2/,,
