stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id
346,346,Westbound E University Avenue @ SE 21st Street,29.652022,-82.297479,Westbound E University AVE @ Nearside SE 21st ST,,,0,,,,,
1116,1116,Valwood Neighborhood,29.604319,-82.422747,Southbound SW 75th ST @ Nearside SW 53rd PL,,,0,,,,,
1543,1543,NW 2nd St @ NW 16th Ave Northbound,29.666315,-82.326527,Northbound NW 2nd St @ Nearside NW 16th Ave,,,0,,,,,
194,194,Eastbound SW 2nd Avenue @ SW 26th Street,29.650347,-82.361278,Eastbound SW 2nd AVE @ Nearside SW 26th ST,,,0,,,,,
1608,1608,Shell Rock Villas,29.644497,-82.409208,Southbound SW 61st St @ Nearside SW 8th Lane,,,0,,,,,
1290,1290,Alachua County Courthouse,29.650198,-82.325153,Eastbound SW 2nd AVE @ Nearside S Main ST,,,0,,,,,
300,300,Fast Eddie's Restaurant,29.650775,-82.305763,Northbound SE 15th ST @ Nearside SE 1st AVE,,,0,,,,,
381,381,Altrusa House of Gainesville,29.685711,-82.349514,Eastbound NW 36th AVE @ Nearside NE 20th ST,,,0,,,,,
187,187,Community Foundation of North Central Florida,29.653333,-82.383899,Eastbound Newberry RD @ Nearside NW 39th RD,,,0,,,,,
1557,1557,The Ridge @ SW 38th TER northbound,29.631626,-82.380875,Northbound SW 38th TER @ Farside SW 24th AVE,,,0,,,,,
1506,1506,The Trophy Shop,29.657597,-82.338892,Westbound NW 7th Ave @ Nearside NW 13th St,,,0,,,,,
157,157,Westgate Shopping Center,29.652293,-82.369628,Westbound W University AVE @ Nearside NW 32nd ST,,,0,,,,,
111,111,Southbound SE 15th Street @ SE 4th Avenue,29.648383,-82.305943,Southbound SE 15th ST @ Nearside SE 4th AVE,,,0,,,,,
436,436,Applebee's @ NW 13th Street,29.661331,-82.339275,Southbound NW 13th ST @ Nearside NW 10th AVE,,,0,,,,,
518,518,Santa Fe College @ NW 83rd Street,29.675243,-82.430108,Northbound NW 83rd ST @ Farside NW 23rd AVE,,,0,,,,,
1169,1169,Northwood Pines Neighborhood,29.704958,-82.359975,Northbound NW 34th ST @ Nearside NW 25th TER,,,0,,,,,
1056,1056,Linton Oaks Neighborhood,29.640571,-82.407144,Northbound SW 61st ST @ Farside SW 20th AVE,,,0,,,,,
150,150,University Lutheran Church,29.652182,-82.347693,Westbound W University AVE @ Nearside NW 19th ST,,,0,,,,,
528,528,Northwest Baptist Church,29.674028,-82.401846,Eastbound NW 23rd AVE @ Nearside NW 55th ST,,,0,,,,,
535,535,B'Nai Israel School & Day Care,29.670727,-82.381721,Eastbound NW 16th BLVD @ Nearside NW 38th TER,,,0,,,,,
461,461,University Club Apartments,29.625831,-82.356333,Northbound SW 23rd TER @ Farside SW 28th PL,,,0,,,,,
1475,1475,President's Park,29.65054,-82.355435,Westbound SW 2nd Ave @ Nearside SW 23rd St,,,0,,,,,
773,773,Arbor Park Apartments,29.636143,-82.329123,Eastbound SW 16th AVE @ Farside SW 6th ST,,,0,,,,,
1427,1427,Holy Faith Catholic Church,29.658408,-82.389177,Northbound NW 43rd ST @ Nearside NW 8th AVE,,,0,,,,,
1141,1141,Wilmot Gardens,29.639388,-82.349715,Eastbound Mowry RD @ Farside Gale Lemerand DR,,,0,,,,,
709,709,McCoy Court Apartments,29.672836,-82.319684,Northbound NE 2nd ST @ Nearside NE 23rd AVE,,,0,,,,,
46,46,Beaty Towers,29.644707,-82.34082,Eastbound Museum RD @ Nearside SW 13th ST,,,0,,,,,
932,932,UF Law School,29.650455,-82.359095,Westbound SW 2nd AVE @ Nearside SW 26th ST,,,0,,,,,
252,252,Plaza Verde - NW 23rd Avenue,29.673883,-82.341767,Eastbound NW 23rd AVE @ Farside NW 16th TER,,,0,,,,,
1494,1494,NE 15th St @ NE 20th Pl,29.67179,-82.305762,Northbound NE 15th St @ Farside NE 20th Pl,,,0,,,,,
206,206,AT&T Building,29.651934,-82.328047,Eastbound W University AVE @ Nearside W 3rd ST,,,0,,,,,
979,979,Landmark Woods Neighborhood,29.663281,-82.388917,Northbound NW 43rd ST @ Nearside NW 12th AVE,,,0,,,,,
369,369,CVS @ NW 13th Street,29.6664,-82.339045,Northbound NW 13th ST @ Nearside NW 16th AVE,,,0,,,,,
697,697,Masonic Temple,29.653697,-82.324896,Northbound N Main ST @ Farside NE 2nd AVE,,,0,,,,,
521,521,Santa Fe College,29.67778,-82.430533,Eastbound NW South RD @ Nearside NW 83rd ST,,,0,,,,,
1483,1483,aloft Hotel @ Hull Rd Eastbound,29.637276,-82.377895,Eastbound Hull Rd Farside SW 37th St,,,0,,,,,
1553,1553,Health Department,29.649168,-82.293379,Southbound SE 24th ST @ Farside SE 2nd AVE,,,0,,,,,
537,537,Willowcroft Neighborhood,29.667381,-82.374398,Eastbound NW 16th BLVD @ Farside NW 35th WAY,,,0,,,,,
599,599,Morningside Nature Center,29.651983,-82.279959,Westbound E University AVE @ Nearside SE 38th ST,,,0,,,,,
1397,1397,Westbound SW 24th Ave @ SW 61st St,29.639833,-82.406425,Westbound SW 24th AVE @ Farside SW 61st ST,,,0,,,,,
1341,1341,Enclave 4,29.622783,-82.366766,Eastbound Enclave Apartments @ Nearside Enclave A*,,,0,,,,,
1253,1253,Graham Hall,29.64581,-82.350257,Northbound Gale Lemerand DR @ Farside Museum RD,,,0,,,,,
1623,1623,SW 6th St nearside SW 5th Ave (southbound),29.6476299,-82.3313561,Southbound SW 6th St @ nearside SW 5th Ave,0,,0,,,,,
442,442,Southbound SW 13th Street @ Inner Road,29.647665,-82.339517,Southbound SW 13th ST @ Nearside Inner RD,,,0,,,,,
794,794,Sai Quick Stop,29.636379,-82.338066,Eastbound SW 16th AVE @ Farside SW 13th ST,,,0,,,,,
1486,1486,Campus Circle Apartments,29.636794,-82.380966,Southbound SW 38th TER @ Farside Hull RD,,,0,,,,,
1261,1261,Gardenia Garden Apartments,29.659264,-82.302637,Westbound NE 8th AVE @ Farside NE 17th DR,,,0,,,,,
241,241,Grace Presbyterian Church,29.681354,-82.339209,Southbound NW 13th ST @ Nearside NW 31st AVE,,,0,,,,,
757,757,Pointe 23 Apartments,29.673966,-82.317613,Westbound NE 23rd AVE @ Farside NE 7th TER,,,0,,,,,
736,736,Wesley United Methodist Church,29.674021,-82.33484,Westbound NW 23rd AVE @ Nearside NW 10th ST,,,0,,,,,
226,226,Oak Gate Apartments,29.6787889,-82.3306919,Northbound NW 6th ST @ Nearside NW 29th AVE,0,,0,,,,,
769,769,The Collier Companies,29.653764,-82.325126,Southbound N Main ST @ Nearside NW 2nd AVE,,,0,,,,,
1547,1547,Sam's Club,29.623178,-82.383566,Westbound SW 33rd PL @ Farside SW 37th Blvd,,,0,,,,,
414,414,Barnhill Clinic,29.702597,-82.365593,Southbound NW 34th ST @ Nearside NW 29th ST,,,0,,,,,
508,508,NW 23rd Ave NW 43rd St,29.673621,-82.387664,Westbound NW 16th BLVD @ Nearside NW 43rd ST,,,0,,,,,
444,444,University Housing Office,29.643892,-82.339427,Southbound SW 13th ST @ Nearside Diamond RD,,,0,,,,,
259,259,ALDI Food Market,29.687607,-82.338857,Northbound NW 13th ST @ Nearside NW 39th AVE,,,0,,,,,
1498,1498,NE 15th St @ NE 3rd Ave Farside,29.65342,-82.305914,Southbound NE 15th St @ Farside NE 3rd Ave,,,0,,,,,
695,695,Oakbrook Walk Condominiums,29.6383072,-82.3392012,Northbound SW 13th ST @ Nearside SW 14th Ave,0,,0,,,,,
1114,1114,Haile Plantation Neighborhood,29.609472,-82.422687,Southbound SW 75th ST @ Farside SW 46th BLVD,,,0,,,,,
1139,1139,Casablanca Apartments,29.619912,-82.361263,Westbound SW 35th PL @ Nearside SW 27th ST,,,0,,,,,
1352,1352,Colonial Oaks,29.6330892,-82.3892534,Northbound SW 43rd ST @ Nearside SW 21st PL,,,0,,,,,
590,590,Southbound SE 43rd Street @ E University Avenue,29.650918,-82.272493,Southbound SE 43rd ST @ Farside E University AVE,,,0,,,,,
1064,1064,Treebecka Park Apartments,29.638507,-82.411938,Westbound SW 20th Avenue Near SW 17th RD,,,0,,,,,
1323,1323,College Manor Apartments,29.650334,-82.337801,Westbound SW 2nd AVE @ Nearside SW 13th ST,,,0,,,,,
1311,1311,Depot Ave Farside SW 3rd St,29.6440734,-82.3284536,Westbound Depot AVE @ Farside SW 3rd ST,1,,0,,,,,
681,681,US 441 South,29.607556,-82.342145,Southbound SW 13th ST @ Farside Williston RD,,,0,,,,,
987,987,Millhopper Branch Library,29.682029,-82.388843,Northbound NW 43rd ST @ Farside NW 31st AVE,,,0,,,,,
216,216,Gainesville Police Department,29.659244,-82.330767,Northbound NW 6th ST @ Nearside NW 8th AVE,,,0,,,,,
39,39,The Bartram Apartments,29.633696,-82.358195,Eastbound Archer RD @ Farside SW 23rd DR,,,0,,,,,
1501,1501,NE 15th St @ NE 8th Ave,29.659135,-82.305768,Northbound NE 15th St @ Nearside NE 8th Ave,,,0,,,,,
1471,1471,Westgate Plaza,29.65216,-82.369357,Eastbound University Ave @ Nearside Nw 33rd Ct,,,0,,,,,
467,467,Cancer and Genetics Research,29.638769,-82.351411,Eastbound Mowry RD @ Nearside Gale Lemerand DR,,,0,,,,,
725,725,Southeast Car Agency,29.688578,-82.322195,Westbound NE 39th AVE @ Nearside NE 2nd WAY,,,0,,,,,
853,853,Northbound SE 11th Street @ SE 2nd Avenue,29.649885,-82.311313,Northbound SE 11th ST @ Nearside SE 2nd AVE,,,0,,,,,
579,579,Southbound NE 25th Street @ NE 6th Avenue,29.656705,-82.292423,Southbound NE 25th ST @ Nearside NE 6th AVE,,,0,,,,,
363,363,SW 13th Street & W University Avenue,29.651483,-82.339199,Northbound SW 13th ST @ Nearside W University AVE,,,0,,,,,
1034,1034,Madison Cove Apartments,29.609477,-82.401452,Westbound Archer RD @ Nearside SW 56th TER,,,0,,,,,
789,789,Sun Bay Apartments,29.6366194,-82.3324711,Westbound SW 16th AVE @ Farside SW 6th ST,0,,0,,,,,
687,687,Bivens Cove Apartments,29.622049,-82.339557,Northbound SW 13th ST @ Nearside SW 36th PL,,,0,,,,,
1472,1472,Mavis Tires,29.651788,-82.376171,Eastbound W University Ave @ Farside SW 36th St,,,0,,,,,
317,317,Northbound SE 35th Street @ SE 18th Ave,29.634715,-82.280703,Northbound SE 35th ST @ Nearside SE 18th AVE,,,0,,,,,
181,181,Millpond Apartments,29.657733,-82.395924,Eastbound Newberry RD @ Farside NW 50th BLVD,,,0,,,,,
