stopId,stopName
1,Rosa Parks Downtown Station
2,Hampton Inn Hotel
3,Westbound SW 2nd Avenue @ SW 2nd Street
4,The Continuum
5,GRU Building
6,Ayers Medical Plaza
7,Infinity Hall
8,Courtyard Apartments
9,Campus USA Bank
10,Norman Hall
11,Norman Parking Garage
12,Norman Field @ SW 8th Avenue
13,Beaty Towers
14,Frazier Rogers Hall
15,Benton Hall
16,Shands Hospital @ Basic Science Building
17,Shands Hospital @ Dental Science Building
18,Shands Hospital @ Davis Cancer Pavilion
19,Campus Edge Condominiums
20,Mt Vernon Apartments
21,Norman Mehrhof Hall
22,Country Village Apartments
23,UF Surge Area Drive
24,Tropic Carwash
25,Westbound Archer Road @ SW 34th Street
26,Whole Foods @ Butler Town Center
27,Chili's Grill and Bar @ Butler Plaza
28,Bonefish Grill Seafood Restaurant @ Butler Plaza
29,Publix @ Butler Plaza
30,Staging Area @ Butler Plaza
31,Regal  Cinema 14 @ Butler Plaza
32,Lowe's Home Improvement @ Butler Plaza
33,Spanish Trace Apartments
34,Radio Shack @ Archer Road
35,Silver Creek Apartments
36,Capstone Quarters Apartments
37,Brandywine Apartments
38,University Commons Apartments @ Archer Road
39,The Bartram Apartments
40,Shands Care Helicopter Pad
41,Shands Hospital @ Dental Science Building
42,Shands Hospital @ HPNP Building
43,Greenhouse - Agronomy Building
44,Frazier Rogers Hall
45,University Police Department
46,Beaty Towers
47,Sorority Row @ SW 8th Avenue
48,Norman Hall
49,Norman Hall Addition
50,Campus USA Bank
51,Camden Court Apartments
52,Eastbound SW 2nd Avenue @ SW 10th Street
53,Eastbound SW 2nd Ave @ SW 7th Terrace
54,Alachua General Hospital @ SW 2nd Avenue
55,Second Avenue Center Apartments
56,Eastbound SW 2nd Ave @ SW 2nd St
57,Hippodrome Theater
58,Southbound SE 4th Street @ SE 7th Avenue
59,RTS Rear Entrance
60,RTS Entrance
61,Dignity Project
62,Southbound SE 4th Street @ SE 13th Lane
63,NorWOOD Neighborhood
