stopId_padded,stopId,stopName
0001,1,Rosa Parks Downtown Station
0002,2,Hampton Inn Hotel
0003,3,Westbound SW 2nd Avenue @ SW 2nd Street
0004,4,The Continuum
0005,5,GRU Building
0006,6,Ayers Medical Plaza
0007,7,Infinity Hall
0008,8,Courtyard Apartments
0009,9,Campus USA Bank
0010,10,Norman Hall
0011,11,Norman Parking Garage
0012,12,Norman Field @ SW 8th Avenue
0013,13,Beaty Towers
0014,14,Frazier Rogers Hall
0015,15,Benton Hall
0016,16,Shands Hospital @ Basic Science Building
0017,17,Shands Hospital @ Dental Science Building
0018,18,Shands Hospital @ Davis Cancer Pavilion
0019,19,Campus Edge Condominiums
0020,20,Mt Vernon Apartments
0021,21,Norman Mehrhof Hall
0022,22,Country Village Apartments
0023,23,UF Surge Area Drive
0024,24,Tropic Carwash
0025,25,Westbound Archer Road @ SW 34th Street
0026,26,Whole Foods @ Butler Town Center
0027,27,Chili's Grill and Bar @ Butler Plaza
0028,28,Bonefish Grill Seafood Restaurant @ Butler Plaza
0029,29,Publix @ Butler Plaza
0030,30,Staging Area @ Butler Plaza
0031,31,Regal  Cinema 14 @ Butler Plaza
0032,32,Lowe's Home Improvement @ Butler Plaza
0033,33,Spanish Trace Apartments
0034,34,Radio Shack @ Archer Road
0035,35,Silver Creek Apartments
0036,36,Capstone Quarters Apartments
0037,37,Brandywine Apartments
0038,38,University Commons Apartments @ Archer Road
0039,39,The Bartram Apartments
0040,40,Shands Care Helicopter Pad
0041,41,Shands Hospital @ Dental Science Building
0042,42,Shands Hospital @ HPNP Building
0043,43,Greenhouse - Agronomy Building
0044,44,Frazier Rogers Hall
0045,45,University Police Department
0046,46,Beaty Towers
0047,47,Sorority Row @ SW 8th Avenue
0048,48,Norman Hall
0049,49,Norman Hall Addition
0050,50,Campus USA Bank
0051,51,Camden Court Apartments
0052,52,Eastbound SW 2nd Avenue @ SW 10th Street
0053,53,Eastbound SW 2nd Ave @ SW 7th Terrace
0054,54,Alachua General Hospital @ SW 2nd Avenue
0055,55,Second Avenue Center Apartments
0056,56,Eastbound SW 2nd Ave @ SW 2nd St
0057,57,Hippodrome Theater
0058,58,Southbound SE 4th Street @ SE 7th Avenue
0059,59,RTS Rear Entrance
0060,60,RTS Entrance
0061,61,Dignity Project
0062,62,Southbound SE 4th Street @ SE 13th Lane
0063,63,NorWOOD Neighborhood
0064,64,Sugarhill Neighborhood @ SE 4th Street
0065,65,Jackson Stone Works
0066,66,Eastbound SE 22nd Avenue @ SE 12th Street
0067,67,Eastbound SE 22nd Avenue @ SE 13th Street
0068,68,Southbound SE 15th Street @ SE 24th Avenue
0069,69,Showers of Blessing
0070,70,Southbound SE 15th Street @ SE 29th Avenue
0071,71,Southbound SE 15th Street @ SE 30th Place
0072,72,Boulware Springs Nature Park
0073,73,Robinson Height Neighborhood
0074,74,Robinson Height Neighborhood
0075,75,Robinson Heights
0076,76,Prairie View Elementary School
0077,77,Northbound SE 15th Street @ SE 30th Place
0078,78,Northbound SE 15th Street @ SE 29th Avenue
0079,79,Showers of Blessings Harvest Center
0080,80,Northbound SE 15th Street @ SE 24th Avenue
0081,81,Calf Pond Creek
0082,82,McPherson Recreational Center
0083,83,Northbound SE 15th Street @ SE 14th Avenue
0084,84,Northbound SE 15th Street @ SE 13th Place
0085,85,Lincoln Estate Neighborhood
0086,86,Lincoln Estate Neighborhood
0087,87,Lincoln Estate Neighborhood
0088,88,Girls Club
0089,89,Lincoln Estate Neighborhood
0090,90,Lincoln Estate Neighborhood
